Woord,Lidwoord,Engelse vertaling
aanbod,het,offer
aanval,de,attack
aap,de,"monkey, ape"
aardappel,de,potato
aarde,de,earth
acht,de,eight
activiteit,de,activity
afname,de,decline
afspraak,de,appointment
afval,het,"rubbish, waste"
ander,de,other
angst,de,fear
antwoord,het,answer
appel,de,apple
arm,de,arm
auto,de,car
avond,de,evening
avondeten,het,dinner
baan,de,job
baby,de,baby
bad,het,bath
bank,de,"bank, settee"
basis,de,basis
bed,het,bedroom
bedreiging,de,threat
been,het,"leg, bone"
beer,de,bear
beest,het,"animal, beast"
begin,het,biginning
begrip,het,understanding
beker,de,"cup, beaker"
bel,de,bell
belofte,de,promise
benzine,de,petrol
berg,de,"mountain, hill"
beroep,het,"profession, appeal"
bezoek,het,"visit, visitors"
bibliotheek,de,library
blad,het,leaf
bloed,het,blood
bloem,de,flower
bodem,de,bottom
boek,het,book
boerderij,de,farm
boete,de,fine
boom,de,tree
boon,de,bean
bord,het,plate
bos,het,"wood, forest"
bot (been),het,bone
bot (vis),de,flounder
brandstof,de,fuel
brief,de,letter
broek,de,trousers
broer,de,brother
brood,het,bread
brug,de,bridge
bruiloft,de,wedding
bui,de,shower
bureau,het,"desk, office"
buren,de,neighbours
bus,de,bus
buurman,de,neighbour (M)
buurvrouw,de,neighbour (F)
cadeau,het,present
chocolade,de,chocolat
cirkel,de,circle
computer,de,computer
conditie,de,"condition, shape"
controle,de,"check, control"
dag,de,day
dak,het,roof
deel,het,part
deken,de,blanket
deksel,het,lid
dier,het,animal
ding,het,thing
dochter,de,daughter
dood,de,death
doos,de,box
dorp,het,village
draad,de,thread
druk,de,pressure
één,de,one
eend,de,duck
eenheid,de,unit
eerste,de,first
eeuw,de,century
effect,het,effect
ei,het,egg
eiland,het,island
einde,het,end
eis,de,demand
eten,het,meal
examen,het,exam
familie,de,family
feest,het,"party, festive occasion"
feit,het,fact
film,de,movie
foto,de,photograph
fout,de,error
fruit,het,fruit
gat,het,hole
gebeurtenis,de,happeming
gebied,het,"area, territory"
geboorte,de,birth
gebruik,het,"use, tradition"
gedrag,het,"behaviour, conduct"
geit,de,goat
geld,het,"money, change"
geliefde,de,lover
geloof,het,"belief, religion"
geluid,het,sound
geluk,het,"good luck, happiness"
gemak,het,"ease, convenience"
genot,het,"pleasure, joy"
gerecht,het,"dish, court of justice"
gereedschap,het,tool
geur,de,"smell, fragrance"
gevaar,het,danger
gevangenis,de,gaol
gevolg,het,"consequence, entourage"
gewicht,het,weight
gezicht,het,"face, view"
gif,het,poison
glas,het,glass
glimlach,de,smile
god,de,god
goed,het,"goods, estate, clothes"
goud,het,gold
graf,het,grave
grap,de,joke
gras,het,grass
grens,de,"border, boundary"
groen,het,"greenery, verdant"
groente,de,vegetable
groep,de,group
grond,de,ground
grootmoeder,de,grandmother
grootvader,de,grandfather
gruis,het,"grit, dust"
haan,de,cockerell
haar,het,hair
haast,de,hurry
hal,de,"hall, vestibule"
hamer,de,hammer
hand,de,hand
hart,het,heart
helft,de,half
hemel,de,heaven
hen,de,hen
herfst,de,autumn
hert,het,deer
heuvel,de,hill
hobby,de,hobby
hoed,de,hat
hoek,de,corner
hoeveelheid,de,quantity
hond,de,dog
honger,de,hunger
hoofd,het,head
hoogte,de,height
hoop,de,"hope, heap"
hotel,het,hotel
huis,het,house
hut,de,hut
huur,de,rent
idee,het,idea
ijs,het,"ice, ice cream"
ijzer,het,iron
instrument,het,"instrument, tool"
jaar,het,year
jas,de,coat
jong,het,"cub, puppy, whelp, etc"
jongen,de,boy
kaars,de,candle
kaart,de,map
kaartje,het,ticket
kaas,de,cheese
kamer,de,room
kans,de,chance
kant,de,"side, edge"
kantoor,het,office
kap,de,"cap, bonnet"
kast,de,"chest, wardrobe"
kasteel,het,castle
kat,de,cat
kennis,de,knowledge
keuken,de,kitchen
keus,de,choice
kind,het,child
kip,de,chicken
kist,de,chest
klas,de,form (school)
klasse,de,class
kleren,de,clothes
kleur,de,colour
klok,de,clock
knie,de,knee
koers,de,"course, direction"
koffer,de,suitcase
koffie,de,coffee
kok,de,"cook, chef"
koning,de,king
koningin,de,queen
koorts,de,fever
kop,de,cup
kost,de,"food, sustenance"
kosten,de,cost
kraam,de,market stall
kracht,de,force
krant,de,newspaper
kruis,het,cross
kuil,de,"hiole, pit"
kunst,de,art
laag,de,level
lach,de,laugh
