Woord,Lidwoord,Stapel
aanbod,het,Zilver
aanval,de,Zilver
aarde,de,Nieuw
antwoord,het,Gezien
auto,de,Nieuw
avond,de,Gezien
baan,de,Gezien
baby,de,Gezien
bad,het,Zilver
bed,het,Nieuw
bedreiging,de,Gezien
been,het,Gezien
beest,het,Gezien
begin,het,Gezien
begrip,het,Nieuw
belofte,de,Nieuw
benzine,de,Nieuw
berg,de,Nieuw
beroep,het,Nieuw
bezoek,het,Zilver
bibliotheek,de,Goud
bloed,het,Nieuw
bloem,de,Nieuw
boek,het,Goud
boerderij,de,Goud
boete,de,Nieuw
bord,het,Zilver
brief,de,Nieuw
brood,het,Nieuw
brug,de,Nieuw
bruiloft,de,Goud
bureau,het,Platina
cadeau,het,Platina
computer,de,Nieuw
dag,de,Goud
dak,het,Nieuw
dier,het,Nieuw
ding,het,Nieuw
dood,de,Goud
doos,de,Goud
dorp,het,Gezien
droom,de,Gezien
eeuw,de,Nieuw
effect,het,Zilver
ei,het,Zilver
eiland,het,Zilver
einde,het,Zilver
eis,de,Nieuw
elektriciteit,de,Platina
